issue_d,loan_amnt
2007Q2,91850
2007Q3,1236575
2007Q4,3649050
2008Q1,10035275
2008Q2,3722950
2008Q3,1766600
2008Q4,5594425
2009Q1,8246350
2009Q2,10115075
2009Q3,13302025
2009Q4,20264800
2010Q1,23510700
2010Q2,31288275
2010Q3,36290975
2010Q4,40902600
2011Q1,45993175
2011Q2,57810225
2011Q3,70422775
2011Q4,87457650
2012Q1,109814950
2012Q2,137366225
2012Q3,207400925
2012Q4,263828925
2013Q1,352889250
2013Q2,446225625
2013Q3,538720625
2013Q4,644929775
2014Q1,708565050
2014Q2,817740050
2014Q3,873915875
2014Q4,1103619200
2015Q1,1290044375
2015Q2,1452367725
2015Q3,1701816800
2015Q4,1973379275
2016Q1,2087217200
2016Q2,1443440975
2016Q3,1404586950
2016Q4,1465324575
2017Q1,1437969475
2017Q2,1538432075
2017Q3,1791201400
2017Q4,1817354125
2018Q1,1741781700
2018Q2,2080429200
2018Q3,2063142975
2018Q4,2050909275
